case_index,case,occurrences_outside_ltp_lists,production_logic_occurrences,comment_only_occurrences,locations
312,fstatfs02,0,0,0,
313,fstatfs02_64,0,0,0,
314,sched_getparam03,0,0,0,
315,sched_setparam04,0,0,0,
316,sched_setparam05,0,0,0,
317,fchdir01,0,0,0,
318,fchdir03,0,0,0,
319,fcntl05,0,0,0,
320,fcntl05_64,0,0,0,
321,fcntl12,0,0,0,
322,fcntl12_64,0,0,0,
323,fcntl13,0,0,0,
324,fcntl13_64,0,0,0,
325,fdatasync01,0,0,0,
326,fdatasync02,0,0,0,
327,readlinkat01,0,0,0,
328,sched_setscheduler01,0,0,0,
329,sched_setscheduler02,0,0,0,
330,symlinkat01,0,0,0,
331,ftruncate03_64,0,0,0,
332,chdir04,0,0,0,
333,chown01,0,0,0,
334,chown02,0,0,0,
335,chown03,0,0,0,
336,chown05,0,0,0,
337,creat05,0,0,0,
338,abs01,0,0,0,
339,mkdir05,0,0,0,
340,statfs02_64,0,0,0,
341,truncate03_64,0,0,0,
342,fork03,0,0,0,
343,fork04,0,0,0,
344,fork07,0,0,0,
345,fork08,0,0,0,
346,fork09,0,0,0,
347,signal05,0,0,0,
348,string01,0,0,0,
349,memcmp01,0,0,0,
350,memcpy01,0,0,0,
351,memset01,0,0,0,
352,access02,0,0,0,
353,fchmodat02,0,0,0,
354,inode01,0,0,0,
355,mmap06,0,0,0,
356,ftest01,0,0,0,
357,ftest02,0,0,0,
358,ftest03,1,0,1,examples/shell/src/cmd.rs:1107:comment
359,ftest04,0,0,0,
360,mmap10,0,0,0,
361,stream01,0,0,0,
362,ftest05,0,0,0,
363,ftest07,1,0,1,examples/shell/src/cmd.rs:1107:comment
364,ftest08,0,0,0,
365,mmap09,0,0,0,
366,mmap11,0,0,0,
367,stream03,0,0,0,
368,stream04,0,0,0,
369,stream05,0,0,0,
370,abort01,0,0,0,
371,poll01,0,0,0,
372,fork05,0,0,0,
373,fork10,0,0,0,
374,kill11,0,0,0,
375,kill12,0,0,0,
376,mem02,0,0,0,
377,clock_settime01,0,0,0,
378,clock_settime02,0,0,0,
379,clone03,0,0,0,
380,confstr01,0,0,0,
381,chmod05,0,0,0,
382,fchmod05,0,0,0,
383,pipe08,0,0,0,
384,preadv01,0,0,0,
385,preadv02,0,0,0,
386,pwritev01,0,0,0,
387,pwritev02,0,0,0,
388,pread02,0,0,0,
389,pread02_64,0,0,0,
390,pwrite02,0,0,0,
391,pwrite02_64,0,0,0,
392,pwrite04,0,0,0,
393,pwrite04_64,0,0,0,
394,sendfile02,0,0,0,
395,sendfile02_64,0,0,0,
396,sendfile03,0,0,0,
397,sendfile03_64,0,0,0,
398,sendfile04,0,0,0,
399,sendfile04_64,0,0,0,
400,sendfile05,0,0,0,
401,sendfile05_64,0,0,0,
402,sendfile06,0,0,0,
403,sendfile06_64,0,0,0,
404,sendfile08,0,0,0,
405,sendfile08_64,0,0,0,
406,preadv201,0,0,0,
407,preadv201_64,0,0,0,
408,preadv202,0,0,0,
409,preadv202_64,0,0,0,
410,pwritev201,0,0,0,
411,pwritev201_64,0,0,0,
412,pwritev202,0,0,0,
413,pwritev202_64,0,0,0,
414,fcntl07,0,0,0,
415,fcntl07_64,0,0,0,
416,open06,0,0,0,
417,creat04,0,0,0,
418,mkdir04,0,0,0,
419,rmdir03,0,0,0,
420,unlink08,0,0,0,
421,unlink07,0,0,0,
422,statfs03,0,0,0,
423,statfs03_64,0,0,0,
424,pselect03,0,0,0,
425,setrlimit05,0,0,0,
426,unlink05,0,0,0,
427,pipe02,0,0,0,
428,dup05,0,0,0,
429,sendfile07,0,0,0,
430,sendfile07_64,0,0,0,
431,stream02,0,0,0,
432,flock01,0,0,0,
433,flock02,0,0,0,
434,flock03,0,0,0,
435,flock04,0,0,0,
436,clone06,0,0,0,
437,clone07,0,0,0,
438,pselect03_64,0,0,0,
439,pselect02,0,0,0,
440,pselect02_64,0,0,0,
441,flock06,0,0,0,
442,llseek02,0,0,0,
443,llseek03,0,0,0,
444,setresgid04,0,0,0,
445,setresuid04,0,0,0,
